City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,alta gracia,0,AR,1516507200,82,-31.66,-64.43,62.6,8.05
88,la ronge,90,CA,1516507200,84,55.1,-105.3,8.6,5.82
89,inta,0,RU,1516509659,73,66.04,60.13,-5.91,7.25
90,hoi an,75,VN,1516507200,83,15.88,108.33,75.2,6.93
91,alice springs,0,AU,1516507260,11,-23.7,133.88,104.0,17.22
92,shingu,40,JP,1516507200,40,33.72,135.99,53.6,17.22
93,bangui,0,CF,1516507200,93,4.39,18.55,62.6,2.89
94,thompson,90,CA,1516507200,77,55.74,-97.86,1.4,5.82
95,nizhnyaya omka,0,RU,1516509662,42,55.43,74.94,-26.57,11.83
96,lebu,20,ET,1516507200,81,8.96,38.73,48.2,6.93
97,mehamn,12,NO,1516509663,100,71.03,27.85,16.59,14.12
98,yara,88,CU,1516509664,91,20.27,-76.95,72.66,9.37
99,elko,90,US,1516506960,68,40.83,-115.76,28.4,8.05
100,sambava,8,MG,1516509665,96,-14.27,50.17,83.01,3.27
101,cayenne,0,GF,1516507200,83,4.94,-52.33,77.0,4.7
102,palmer,0,AU,1516507200,61,-34.85,139.16,82.4,17.22
103,kapaa,90,US,1516507620,88,22.08,-159.32,73.4,18.34
104,marsa matruh,24,EG,1516509667,59,31.35,27.25,48.23,15.41
105,tiznit,0,MA,1516509668,79,29.7,-9.73,51.51,3.22
106,calvinia,24,ZA,1516509668,51,-31.47,19.78,67.8,4.34
107,pisco,0,PE,1516507200,83,-13.71,-76.2,69.8,11.41
108,green river,90,US,1516506840,85,41.53,-109.47,21.2,5.82
109,nagua,92,DO,1516509670,93,19.37,-69.85,76.26,8.59
110,kasongo-lunda,88,CD,1516509670,100,-6.48,16.82,67.13,2.89
111,ryotsu,75,JP,1516507860,87,38.08,138.43,42.8,13.87
112,balabac,88,PH,1516509671,100,7.99,117.06,81.21,8.81
113,laramie,90,US,1516507260,92,41.31,-105.59,26.6,4.7
114,barrow,32,AR,1516509634,70,-38.31,-60.23,71.04,11.16
115,mecca,0,SA,1516507200,35,21.43,39.83,69.8,7.85
116,port elizabeth,1,US,1516506960,92,39.31,-74.98,42.8,3.36
117,carnarvon,0,ZA,1516509674,46,-30.97,22.13,72.03,10.27
118,tumut,32,AU,1516509674,37,-35.3,148.22,85.58,4.56
119,qaanaaq,0,GL,1516509675,91,77.48,-69.36,-4.47,11.43
120,garden city,1,US,1516508100,60,40.73,-73.63,46.4,4.7
121,dikson,92,RU,1516509676,92,73.51,80.55,-0.47,24.63
122,san policarpo,92,PH,1516509676,100,12.18,125.51,79.19,12.55
123,clinton,90,US,1516508100,93,41.84,-90.19,42.8,8.05
124,madimba,40,CM,1516507200,100,4.42,9.93,75.2,1.12
125,pangkalanbuun,8,ID,1516509678,86,-2.68,111.62,87.33,5.12
126,vaitape,76,PF,1516509678,98,-16.52,-151.75,83.1,19.33
127,port lincoln,48,AU,1516509679,75,-34.72,135.86,75.0,11.65
128,hobart,90,AU,1516507200,60,-42.88,147.33,71.6,17.22
129,jamestown,44,AU,1516509680,22,-33.21,138.6,99.39,11.61
130,kodinsk,24,RU,1516509681,78,58.6,99.18,-37.91,3.49
131,burevestnik,100,UA,1516509681,91,45.45,34.65,43.64,14.45
132,salym,0,RU,1516509682,59,60.06,71.48,-19.46,7.02
133,nouadhibou,76,MR,1516507200,59,20.93,-17.03,62.6,12.75
134,san juan,40,PR,1516506960,83,18.47,-66.12,78.8,5.82
135,cidreira,92,BR,1516509683,77,-30.17,-50.22,73.65,15.41
136,ilulissat,0,GL,1516506600,49,69.22,-51.1,23.0,26.4
137,mudbidri,0,IN,1516509000,57,13.08,74.98,78.8,6.93
138,san cristobal,40,EC,1516507200,93,-0.39,-78.55,51.8,12.75
139,touros,64,BR,1516509685,94,-5.2,-35.46,76.76,6.06
140,sal rei,75,CV,1516507200,72,16.18,-22.92,68.0,13.87
141,coffs harbour,0,AU,1516507200,74,-30.3,153.13,78.8,10.29
142,atar,0,MR,1516509392,33,20.52,-13.05,56.24,11.39
143,fairhope,1,US,1516506960,100,30.52,-87.9,53.6,6.24
144,bathsheba,40,BB,1516507200,78,13.22,-59.52,78.8,21.92
